GIF ID,Web Archive Link,GIPHY Title,Score,
103CvPt2Ka1pMA,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/103CvPt2Ka1pMA/giphy.gif,ice cube hug GIF,0.50,
103FBnr7m8bF2U,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/103FBnr7m8bF2U/giphy.gif,ice cream pizza GIF,0.50,
103HJZ0KmjvW0w,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/103HJZ0KmjvW0w/giphy.gif,frustrated cara delevingne GIF,0.50,
103JnbaqvpBFGE,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/103JnbaqvpBFGE/giphy.gif,excited tiger GIF,0.50,
103MIamscv6fqU,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/103MIamscv6fqU/giphy.gif,stephen colbert smile GIF,0.50,
103Tk8v4wUETXq,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/103Tk8v4wUETXq/giphy.gif,the sandlot movie scenes GIF,0.50,
103TSAa8GEBG5a,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/103TSAa8GEBG5a/giphy.gif,lana turner chin up GIF,0.50,
103TZqgLqRJq0M,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/103TZqgLqRJq0M/giphy.gif,recursive lego GIF,0.50,
103wxMOQYiCOjK,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/103wxMOQYiCOjK/giphy.gif,happy sun GIF,0.50,
103xrL5PlMNdfi,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/103xrL5PlMNdfi/giphy.gif,quinn fabray glee GIF,0.50,
103xZAht08FKGA,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/103xZAht08FKGA/giphy.gif,nicki minaj halloween costume GIF,0.50,
103xzVbE7S72tG,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/103xzVbE7S72tG/giphy.gif,octopus GIF,0.50,
1041HLFEx4gniE,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1041HLFEx4gniE/giphy.gif,make it rain GIF,0.50,
1044XT2g7r37lm,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1044XT2g7r37lm/giphy.gif,dazed and confused girl GIF,0.50,
1047xUIi3HQnmw,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1047xUIi3HQnmw/giphy.gif,andy richter eye roll GIF,0.50,
1049KhpGddOJnq,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1049KhpGddOJnq/giphy.gif,et GIF,0.50,
104db9aRjBYaze,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/104db9aRjBYaze/giphy.gif,carly fiorina girl GIF,0.50,
104DvQ6T7P6hws,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/104DvQ6T7P6hws/giphy.gif,the nanny 90s GIF,0.50,
104eLZGowXVNug,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/104eLZGowXVNug/giphy.gif,jason schwartzman hbo GIF,0.50,
104eSQHVd00VRC,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/104eSQHVd00VRC/giphy.gif,parks and recreation want GIF,0.50,
104IFM8wXqdHLq,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/104IFM8wXqdHLq/giphy.gif,NA,0.50,
104KZtaMw9s7lu,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/104KZtaMw9s7lu/giphy.gif,cat video GIF,0.50,
104LQpFgxgbawg,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/104LQpFgxgbawg/giphy.gif,george lopez prius GIF,0.50,
104Nb64zBwLqow,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/104Nb64zBwLqow/giphy.gif,baby gives GIF,0.50,
104nHkfZphvUL6,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/104nHkfZphvUL6/giphy.gif,the simpsons crying GIF,0.50,
104Nx6shXEU3KM,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/104Nx6shXEU3KM/giphy.gif,aubrey graham drake GIF by Complex,0.50,
104v6Qd66phU3u,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/104v6Qd66phU3u/giphy.gif,scary night train to terror GIF by absurdnoise,0.50,
104vPBH8buV9vy,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/104vPBH8buV9vy/giphy.gif,tim and eric idk GIF,0.50,
1053JbNbEByIEw,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1053JbNbEByIEw/giphy.gif,first GIF,0.50,
1054NET6HHQX9S,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1054NET6HHQX9S/giphy.gif,angry hockey GIF,0.50,
105C3prrNgWrdu,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/105C3prrNgWrdu/giphy.gif,yo ft GIF,0.50,
105CPYlaXN8vBu,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/105CPYlaXN8vBu/giphy.gif,NA,0.50,
105GOmvA1CQVNu,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/105GOmvA1CQVNu/giphy.gif,the muppets 80s GIF,0.50,
105lu16OxlK7rq,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/105lu16OxlK7rq/giphy.gif,bill clinton saxophone GIF,0.50,
105nDZSgnQHeEg,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/105nDZSgnQHeEg/giphy.gif,michael cera want GIF,0.50,
105NVzZM26ItdC,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/105NVzZM26ItdC/giphy.gif,saved by the bell laughing GIF,0.50,
105TumJC5b9gNq,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/105TumJC5b9gNq/giphy.gif,train window GIF,0.50,
106C2QlTwsxk2Y,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/106C2QlTwsxk2Y/giphy.gif,alicia silverstone GIF,0.50,
106cNd9lb4of3G,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/106cNd9lb4of3G/giphy.gif,animated marlon brando GIF,0.50,
106cqwD4WrDjJm,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/106cqwD4WrDjJm/giphy.gif,awkward jennifer lawrence GIF,0.50,
106gYeXrYp7JpC,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/106gYeXrYp7JpC/giphy.gif,cat yoga GIF,0.50,
106holZERgWSFG,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/106holZERgWSFG/giphy.gif,amazon echo tech GIF,0.50,
106nrlveKmAmha,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/106nrlveKmAmha/giphy.gif,poly GIF,0.50,
106OwMcXJSwwoM,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/106OwMcXJSwwoM/giphy.gif,frustrated GIF,0.50,
106PTiclSWEsQo,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/106PTiclSWEsQo/giphy.gif,lord GIF,0.50,
